T/K           P/MPa         H2O(g)        H2(g)         H2S(g)        HCl(g)        HF(g)         H(g)          HCOOH(g;cis)  HCOOH(g;trans)              HCOOH(g)      OH(g)         O2(g)         O(g)          CO2(g)        CH4(g)        CO(g)         COS(g)        C(g)          N2(g)         NO(g)         N(g)          NH3(g)        NaCl(g)       Na(g)         NaOH(g)       KOH(g)        SO2(g)        SH(g)         S2(g)         SO(g)         S(g)          Fe(g)         Fe(OH)2(g)    FeO(g)        FeOH(g)       FeO2(g)       Ni(g)         NiS(g)        NiOH(g)       Ni(OH)2(g)    Mn(g)         MnH(g)        SiO(g)        SiO2(g)       Si(g)         PO(g)         Mg(g)         MgO(g)        MgOH(g)       Mg(OH)2(g)    MgS(g)        CrO2(g)       Cr(OH)2(g)    Cr(OH)3(g)    AlO(g)        AlOH(g)       Al(g)         Al(OH)3(g)    Al(OH)2(g)    AlOH(g)       CaO(g)        CaOH(g)       Ca(g)         Ca(OH)2(g)    
0080.00       1.0000E-1     4.0784E-42    2.5279E-67    1.7020E-91    5.4610E-73    2.9594E-122   2.5924E-173   2.3169E-126   4.9340E-137   2.4710E-126   1.8161E-188   4.2365E-216   4.2365E-216   1.1872E-43    2.3143E-132   8.9816E-94    1.1216E-112   4.2365E-216   1.0000E+0     2.8827E-189   4.2365E-216   1.9497E-77    8.2586E-147   4.2365E-216   1.9107E-210   1.2569E-213   4.0003E-105   1.6009E-159   3.0790E-154   4.7746E-168   3.9335E-213   4.2365E-216   2.2574E-190   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.4728E-194   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.2648E-188   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0080.00       3.0000E-1     1.3595E-42    8.4262E-68    5.6734E-92    1.8203E-73    9.8645E-123   8.6412E-174   7.7231E-127   1.6447E-137   8.2367E-127   6.0536E-189   4.2365E-216   4.2365E-216   3.9572E-44    7.7143E-133   2.9939E-94    3.7386E-113   4.2365E-216   1.0000E+0     1.6643E-189   4.2365E-216   1.1257E-77    2.7529E-147   4.2365E-216   6.3689E-211   4.1897E-214   1.3334E-105   5.3363E-160   1.0263E-154   1.5915E-168   1.3112E-213   4.2365E-216   7.5245E-191   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   8.2428E-195   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2160E-189   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0090.00       1.0000E-1     1.4188E-36    2.5071E-59    1.9310E-80    4.3211E-64    6.7251E-108   1.3442E-153   3.6029E-111   1.1694E-120   3.7880E-111   1.0842E-166   4.2365E-216   4.2365E-216   7.6608E-38    7.8149E-117   1.7936E-82    3.4162E-99    4.2365E-216   1.0000E+0     1.0171E-167   4.2365E-216   1.9731E-68    1.1062E-129   1.9319E-207   2.9847E-186   4.3411E-189   2.5964E-92    5.5833E-141   3.8499E-136   2.2778E-148   9.4108E-189   4.2365E-216   4.6977E-168   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.6104E-171   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.4045E-214   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.3629E-166   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0090.00       3.0000E-1     4.7292E-37    8.3569E-60    6.4368E-81    1.4404E-64    2.2417E-108   4.4808E-154   1.2010E-111   3.8978E-121   1.2627E-111   3.6139E-167   4.2365E-216   4.2365E-216   2.5536E-38    2.6050E-117   5.9788E-83    1.1387E-99    4.2365E-216   1.0000E+0     5.8725E-168   4.2365E-216   1.1392E-68    3.6873E-130   6.4396E-208   9.9491E-187   1.4470E-189   8.6546E-93    1.8611E-141   1.2833E-136   7.5928E-149   3.1369E-189   4.2365E-216   1.5659E-168   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   5.3682E-172   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.6817E-215   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   7.8764E-167   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0100.00       1.0000E-1     3.8267E-32    6.2962E-53    1.3370E-71    5.6957E-57    2.0651E-96    8.0425E-138   5.0150E-99    1.4396E-107   5.2161E-99    2.8739E-149   3.1586E-206   4.2365E-216   3.4005E-33    2.0042E-104   1.9798E-73    2.0935E-88    4.2365E-216   1.0000E+0     1.7643E-150   4.2365E-216   3.0944E-61    5.5310E-116   3.0653E-186   6.7376E-167   1.8511E-169   4.5958E-82    3.8315E-126   1.1564E-121   1.2610E-132   3.0271E-169   4.2365E-216   3.3671E-150   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.1016E-193   2.8537E-153   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.0158E-192   4.2365E-216   4.2365E-216   4.2365E-216   2.6368E-204   4.2365E-216   4.2365E-216   4.2365E-216   1.5251E-148   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0100.00       3.0000E-1     1.2756E-32    2.0987E-53    4.4568E-72    1.8986E-57    6.8838E-97    2.6808E-138   1.6717E-99    4.7987E-108   1.7387E-99    9.5798E-150   1.0529E-206   4.2365E-216   1.1335E-33    6.6806E-105   6.5995E-74    6.9783E-89    4.2365E-216   1.0000E+0     1.0186E-150   4.2365E-216   1.7866E-61    1.8437E-116   1.0218E-186   2.2459E-167   6.1703E-170   1.5319E-82    1.2772E-126   3.8546E-122   4.2034E-133   1.0090E-169   4.2365E-216   1.1224E-150   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   3.6718E-194   9.5122E-154   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.3386E-192   4.2365E-216   4.2365E-216   4.2365E-216   8.7894E-205   4.2365E-216   4.2365E-216   4.2365E-216   5.0837E-149   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0110.00       1.0000E-1     1.6080E-28    1.0906E-47    2.2714E-64    3.8197E-51    5.1914E-87    6.5758E-125   4.2458E-89    7.2563E-97    4.3797E-89    5.2012E-135   1.1310E-186   1.0631E-208   2.1548E-29    2.7764E-94    4.9829E-66    1.4033E-79    4.2365E-216   1.0000E+0     2.2505E-136   4.2365E-216   2.3475E-55    8.8913E-105   6.7635E-169   4.5936E-151   2.1259E-153   1.1107E-73    5.3004E-114   8.0997E-110   9.5893E-120   2.7872E-153   4.2365E-216   1.3702E-135   4.2365E-216   4.2365E-216   4.2365E-216   3.0103E-210   2.4628E-203   3.4038E-175   2.4203E-138   4.2365E-216   4.9784E-215   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   9.5396E-174   4.2365E-216   4.2365E-216   4.2261E-208   1.4097E-184   4.2365E-216   4.2365E-216   4.2365E-216   5.6111E-134   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.9167E-215   
0110.00       3.0000E-1     5.3602E-29    3.6352E-48    7.5712E-65    1.2732E-51    1.7305E-87    2.1919E-125   1.4153E-89    2.4188E-97    1.4599E-89    1.7337E-135   3.7700E-187   3.5437E-209   7.1828E-30    9.2548E-95    1.6610E-66    4.6778E-80    4.2365E-216   1.0000E+0     1.2993E-136   4.2365E-216   1.3553E-55    2.9638E-105   2.2545E-169   1.5312E-151   7.0864E-154   3.7022E-74    1.7668E-114   2.6999E-110   3.1964E-120   9.2906E-154   4.2365E-216   4.5675E-136   4.2365E-216   4.2365E-216   4.2365E-216   1.0034E-210   8.2094E-204   1.1346E-175   8.0677E-139   4.2365E-216   1.6595E-215   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   3.1798E-174   4.2365E-216   4.2365E-216   1.4087E-208   4.6991E-185   4.2365E-216   4.2365E-216   4.2365E-216   1.8704E-134   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   9.7224E-216   
0120.00       1.0000E-1     1.6763E-25    2.5411E-43    2.3934E-58    2.7436E-46    3.5505E-79    3.8184E-114   7.8411E-81    5.9289E-88    8.0364E-81    3.9740E-123   2.2360E-170   9.6062E-191   3.1715E-26    7.6803E-86    7.3556E-60    3.1816E-72    4.2365E-216   1.0000E+0     1.2817E-124   2.7575E-203   1.8394E-50    1.9306E-95    1.9118E-154   7.1766E-138   5.1338E-140   1.0724E-66    6.9733E-104   6.0203E-100   5.2027E-109   5.6437E-140   4.2365E-216   2.0508E-123   4.2365E-216   3.0702E-201   4.2365E-216   4.3584E-192   1.4254E-185   8.6653E-160   6.6455E-126   5.4385E-211   1.8045E-196   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.9712E-158   4.2365E-216   4.2365E-216   8.7635E-190   3.8266E-168   4.2365E-216   4.2365E-216   4.2365E-216   7.6244E-122   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.8066E-196   
0120.00       3.0000E-1     5.5876E-26    8.4704E-44    7.9779E-59    9.1454E-47    1.1835E-79    1.2728E-114   2.6137E-81    1.9763E-88    2.6788E-81    1.3247E-123   7.4535E-171   3.2020E-191   1.0572E-26    2.5601E-86    2.4519E-60    1.0605E-72    4.2365E-216   1.0000E+0     7.3999E-125   1.5920E-203   1.0620E-50    6.4352E-96    6.3728E-155   2.3922E-138   1.7113E-140   3.5747E-67    2.3244E-104   2.0068E-100   1.7342E-109   1.8812E-140   4.2365E-216   6.8361E-124   4.2365E-216   1.0234E-201   4.2365E-216   1.4528E-192   4.7513E-186   2.8884E-160   2.2152E-126   1.8128E-211   6.0151E-197   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   6.5706E-159   4.2365E-216   4.2365E-216   2.9212E-190   1.2755E-168   4.2365E-216   4.2365E-216   4.2365E-216   2.5415E-122   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   6.0218E-197   
