T/K           P/MPa         H2O(g)        H2(g)         H2S(g)        HCl(g)        HF(g)         H(g)          HCOOH(g;cis)  HCOOH(g;trans)              HCOOH(g)      OH(g)         O2(g)         O(g)          CO2(g)        CH4(g)        CO(g)         COS(g)        C(g)          N2(g)         NO(g)         N(g)          NH3(g)        NaCl(g)       Na(g)         NaOH(g)       KOH(g)        SO2(g)        SH(g)         S2(g)         SO(g)         S(g)          Fe(g)         Fe(OH)2(g)    FeO(g)        FeOH(g)       FeO2(g)       Ni(g)         NiS(g)        NiOH(g)       Ni(OH)2(g)    Mn(g)         MnH(g)        SiO(g)        SiO2(g)       Si(g)         PO(g)         Mg(g)         MgO(g)        MgOH(g)       Mg(OH)2(g)    MgS(g)        CrO2(g)       Cr(OH)2(g)    Cr(OH)3(g)    AlO(g)        AlOH(g)       Al(g)         Al(OH)3(g)    Al(OH)2(g)    AlOH(g)       CaO(g)        CaOH(g)       Ca(g)         Ca(OH)2(g)    
0080.00       1.0000E+1     4.0784E-44    2.5279E-69    1.7020E-93    5.4610E-75    2.9594E-124   2.5924E-175   2.3169E-128   4.9340E-139   2.4710E-128   1.8161E-190   4.2365E-216   4.2365E-216   1.1872E-45    2.3143E-134   8.9816E-96    1.1216E-114   4.2365E-216   1.0000E+0     2.8827E-190   4.2365E-216   1.9497E-78    8.2586E-149   4.2365E-216   1.9107E-212   1.2569E-215   4.0003E-107   1.6009E-161   3.0790E-156   4.7746E-170   3.9335E-215   4.2365E-216   2.2574E-192   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.4728E-196   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.2648E-190   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0080.00       3.0000E+1     1.3595E-44    8.4262E-70    5.6734E-94    1.8203E-75    9.8645E-125   8.6412E-176   7.7231E-129   1.6447E-139   8.2367E-129   6.0536E-191   4.2365E-216   4.2365E-216   3.9572E-46    7.7143E-135   2.9939E-96    3.7386E-115   4.2365E-216   1.0000E+0     1.6643E-190   4.2365E-216   1.1257E-78    2.7529E-149   4.2365E-216   6.3689E-213   4.2365E-216   1.3334E-107   5.3363E-162   1.0263E-156   1.5915E-170   1.3112E-215   4.2365E-216   7.5245E-193   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   8.2428E-197   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2160E-191   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0090.00       1.0000E+1     1.4188E-38    2.5071E-61    1.9310E-82    4.3211E-66    6.7251E-110   1.3442E-155   3.6029E-113   1.1694E-122   3.7880E-113   1.0842E-168   4.2365E-216   4.2365E-216   7.6608E-40    7.8149E-119   1.7936E-84    3.4162E-101   4.2365E-216   1.0000E+0     1.0171E-168   4.2365E-216   1.9731E-69    1.1062E-131   1.9319E-209   2.9847E-188   4.3411E-191   2.5964E-94    5.5833E-143   3.8499E-138   2.2778E-150   9.4108E-191   4.2365E-216   4.6977E-170   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.6104E-173   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.3629E-168   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0090.00       3.0000E+1     4.7292E-39    8.3569E-62    6.4368E-83    1.4404E-66    2.2417E-110   4.4808E-156   1.2010E-113   3.8978E-123   1.2627E-113   3.6139E-169   4.2365E-216   4.2365E-216   2.5536E-40    2.6050E-119   5.9788E-85    1.1387E-101   4.2365E-216   1.0000E+0     5.8725E-169   4.2365E-216   1.1392E-69    3.6873E-132   6.4396E-210   9.9491E-189   1.4470E-191   8.6546E-95    1.8611E-143   1.2833E-138   7.5928E-151   3.1369E-191   4.2365E-216   1.5659E-170   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   5.3682E-174   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   7.8764E-169   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0100.00       1.0000E+1     3.8267E-34    6.2962E-55    1.3370E-73    5.6957E-59    2.0651E-98    8.0425E-140   5.0150E-101   1.4396E-109   5.2161E-101   2.8739E-151   3.1586E-208   4.2365E-216   3.4005E-35    2.0042E-106   1.9798E-75    2.0935E-90    4.2365E-216   1.0000E+0     1.7643E-151   4.2365E-216   3.0944E-62    5.5310E-118   3.0653E-188   6.7376E-169   1.8511E-171   4.5958E-84    3.8315E-128   1.1564E-123   1.2610E-134   3.0271E-171   4.2365E-216   3.3671E-152   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.1016E-195   2.8537E-155   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.0158E-194   4.2365E-216   4.2365E-216   4.2365E-216   2.6368E-206   4.2365E-216   4.2365E-216   4.2365E-216   1.5251E-150   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0100.00       3.0000E+1     1.2756E-34    2.0987E-55    4.4568E-74    1.8986E-59    6.8838E-99    2.6808E-140   1.6717E-101   4.7987E-110   1.7387E-101   9.5798E-152   1.0529E-208   4.2365E-216   1.1335E-35    6.6806E-107   6.5995E-76    6.9783E-91    4.2365E-216   1.0000E+0     1.0186E-151   4.2365E-216   1.7866E-62    1.8437E-118   1.0218E-188   2.2459E-169   6.1703E-172   1.5319E-84    1.2772E-128   3.8546E-124   4.2034E-135   1.0090E-171   4.2365E-216   1.1224E-152   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   3.6718E-196   9.5122E-156   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.3386E-194   4.2365E-216   4.2365E-216   4.2365E-216   8.7894E-207   4.2365E-216   4.2365E-216   4.2365E-216   5.0837E-151   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0110.00       1.0000E+1     1.6080E-30    1.0906E-49    2.2714E-66    3.8197E-53    5.1914E-89    6.5758E-127   4.2458E-91    7.2563E-99    4.3797E-91    5.2012E-137   1.1310E-188   1.0631E-210   2.1548E-31    2.7764E-96    4.9829E-68    1.4033E-81    4.2365E-216   1.0000E+0     2.2505E-137   4.2365E-216   2.3475E-56    8.8913E-107   6.7635E-171   4.5936E-153   2.1259E-155   1.1107E-75    5.3004E-116   8.0997E-112   9.5893E-122   2.7872E-155   4.2365E-216   1.3702E-137   4.2365E-216   4.2365E-216   4.2365E-216   3.0103E-212   2.4628E-205   3.4038E-177   2.4203E-140   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   9.5396E-176   4.2365E-216   4.2365E-216   4.2261E-210   1.4097E-186   4.2365E-216   4.2365E-216   4.2365E-216   5.6111E-136   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0110.00       3.0000E+1     5.3602E-31    3.6352E-50    7.5712E-67    1.2732E-53    1.7305E-89    2.1919E-127   1.4153E-91    2.4188E-99    1.4599E-91    1.7337E-137   3.7700E-189   3.5437E-211   7.1828E-32    9.2548E-97    1.6610E-68    4.6778E-82    4.2365E-216   1.0000E+0     1.2993E-137   4.2365E-216   1.3553E-56    2.9638E-107   2.2545E-171   1.5312E-153   7.0864E-156   3.7022E-76    1.7668E-116   2.6999E-112   3.1964E-122   9.2906E-156   4.2365E-216   4.5675E-138   4.2365E-216   4.2365E-216   4.2365E-216   1.0034E-212   8.2094E-206   1.1346E-177   8.0677E-141   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   3.1798E-176   4.2365E-216   4.2365E-216   1.4087E-210   4.6991E-187   4.2365E-216   4.2365E-216   4.2365E-216   1.8704E-136   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0120.00       1.0000E+1     1.6763E-27    2.5411E-45    2.3934E-60    2.7436E-48    3.5505E-81    3.8184E-116   7.8411E-83    5.9289E-90    8.0364E-83    3.9740E-125   2.2360E-172   9.6062E-193   3.1715E-28    7.6803E-88    7.3556E-62    3.1816E-74    4.2365E-216   1.0000E+0     1.2817E-125   2.7575E-204   1.8394E-51    1.9306E-97    1.9118E-156   7.1766E-140   5.1338E-142   1.0724E-68    6.9733E-106   6.0203E-102   5.2027E-111   5.6437E-142   4.2365E-216   2.0508E-125   4.2365E-216   3.0702E-203   4.2365E-216   4.3584E-194   1.4254E-187   8.6653E-162   6.6455E-128   5.4385E-213   1.8045E-198   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.9712E-160   4.2365E-216   4.2365E-216   8.7635E-192   3.8266E-170   4.2365E-216   4.2365E-216   4.2365E-216   7.6244E-124   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.8066E-198   
0120.00       3.0000E+1     5.5876E-28    8.4704E-46    7.9779E-61    9.1454E-49    1.1835E-81    1.2728E-116   2.6137E-83    1.9763E-90    2.6788E-83    1.3247E-125   7.4535E-173   3.2020E-193   1.0572E-28    2.5601E-88    2.4519E-62    1.0605E-74    4.2365E-216   1.0000E+0     7.3999E-126   1.5920E-204   1.0620E-51    6.4352E-98    6.3728E-157   2.3922E-140   1.7113E-142   3.5747E-69    2.3244E-106   2.0068E-102   1.7342E-111   1.8812E-142   4.2365E-216   6.8361E-126   4.2365E-216   1.0234E-203   4.2365E-216   1.4528E-194   4.7513E-188   2.8884E-162   2.2152E-128   1.8128E-213   6.0151E-199   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   6.5706E-161   4.2365E-216   4.2365E-216   2.9212E-192   1.2755E-170   4.2365E-216   4.2365E-216   4.2365E-216   2.5415E-124   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   6.0218E-199   
