T/K           P/MPa         H2O(g)        H2(g)         H2S(g)        HCl(g)        HF(g)         H(g)          HCOOH(g;cis)  HCOOH(g;trans)              HCOOH(g)      OH(g)         O2(g)         O(g)          CO2(g)        CH4(g)        CO(g)         COS(g)        C(g)          N2(g)         NO(g)         N(g)          NH3(g)        NaCl(g)       Na(g)         NaOH(g)       KOH(g)        SO2(g)        SH(g)         S2(g)         SO(g)         S(g)          Fe(g)         Fe(OH)2(g)    FeO(g)        FeOH(g)       FeO2(g)       Ni(g)         NiS(g)        NiOH(g)       Ni(OH)2(g)    Mn(g)         MnH(g)        SiO(g)        SiO2(g)       Si(g)         PO(g)         Mg(g)         MgO(g)        MgOH(g)       Mg(OH)2(g)    MgS(g)        CrO2(g)       Cr(OH)2(g)    Cr(OH)3(g)    AlO(g)        AlOH(g)       Al(g)         Al(OH)3(g)    Al(OH)2(g)    AlOH(g)       CaO(g)        CaOH(g)       Ca(g)         Ca(OH)2(g)    
0080.00       1.0000E-2     2.5365E-25    2.4324E-40    2.3687E-53    5.0808E-65    3.6316E-63    2.5430E-159   4.4889E-79    9.5594E-90    4.7875E-79    1.1514E-184   4.7800E-217   4.7800E-217   2.3903E-22    1.0328E-38    2.7980E-62    5.0533E-70    4.7800E-217   1.0000E+0     5.8918E-199   4.7800E-217   5.8196E-38    1.3405E-145   4.7800E-217   2.0732E-200   9.6835E-198   2.4168E-113   2.2712E-134   6.4403E-131   4.4631E-166   5.6889E-201   4.7800E-217   2.0534E-169   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.8728E-199   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.2998E-173   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0080.00       3.0000E-2     8.4549E-26    8.1081E-41    7.8955E-54    9.7780E-66    1.2105E-63    8.4765E-160   1.4963E-79    3.1865E-90    1.5958E-79    3.8381E-185   4.7800E-217   4.7800E-217   7.9677E-23    3.4428E-39    9.3266E-63    1.6844E-70    4.7800E-217   1.0000E+0     3.4016E-199   4.7800E-217   3.3600E-38    2.5798E-146   4.7800E-217   6.9106E-201   3.2278E-198   8.0561E-114   7.5706E-135   2.1468E-131   1.4877E-166   1.8963E-201   4.7800E-217   6.8448E-170   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.2910E-199   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.4333E-173   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0090.00       1.0000E-2     1.7460E-21    3.7508E-35    2.6859E-46    1.6887E-56    2.9965E-55    5.1994E-141   5.8825E-69    1.9092E-78    6.1847E-69    3.4494E-163   4.7800E-217   4.7800E-217   8.3603E-19    2.8213E-33    2.3796E-54    4.2137E-61    4.7800E-217   1.0000E+0     2.6458E-176   4.7800E-217   3.6107E-33    8.6122E-129   1.4886E-201   7.3173E-178   1.4428E-174   1.6333E-99    2.0078E-118   3.3277E-115   1.7420E-146   8.7492E-178   4.7800E-217   2.9819E-149   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.7535E-175   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.0839E-203   4.7800E-217   4.7800E-217   4.7800E-217   2.0078E-152   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0090.00       3.0000E-2     5.8200E-22    1.2503E-35    8.9531E-47    3.2500E-57    9.9884E-56    1.7331E-141   1.9608E-69    6.3640E-79    2.0616E-69    1.1498E-163   4.7800E-217   4.7800E-217   2.7868E-19    9.4043E-34    7.9322E-55    1.4046E-61    4.7800E-217   1.0000E+0     1.5275E-176   4.7800E-217   2.0846E-33    1.6574E-129   4.9619E-202   2.4391E-178   4.8092E-175   5.4442E-100   6.6926E-119   1.1092E-115   5.8065E-147   2.9164E-178   4.7800E-217   9.9395E-150   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   5.8450E-176   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.0280E-203   4.7800E-217   4.7800E-217   4.7800E-217   6.6928E-153   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0100.00       1.0000E-2     1.9411E-18    5.1361E-31    1.1086E-40    1.1644E-49    6.2167E-49    2.2970E-126   6.7302E-61    1.9320E-69    7.0000E-61    5.1041E-146   4.7800E-217   4.7800E-217   5.5943E-16    5.6743E-29    5.2380E-48    5.6299E-54    4.7800E-217   1.0000E+0     3.4692E-158   4.7800E-217   2.2798E-29    3.0498E-115   2.3614E-181   9.2182E-160   4.3608E-156   1.8063E-88    1.1124E-105   1.1948E-102   7.9704E-131   3.0770E-159   4.7800E-217   3.9283E-133   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.9246E-199   8.8549E-157   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.2382E-194   4.7800E-217   4.7800E-217   3.4342E-209   3.6985E-181   4.7800E-217   4.7800E-217   4.7800E-217   6.6401E-136   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0100.00       3.0000E-2     6.4703E-19    1.7120E-31    3.6955E-41    2.2408E-50    2.0722E-49    7.6568E-127   2.2434E-61    6.4398E-70    2.3334E-61    1.7014E-146   4.7800E-217   4.7800E-217   1.8648E-16    1.8914E-29    1.7460E-48    1.8766E-54    4.7800E-217   1.0000E+0     2.0030E-158   4.7800E-217   1.3163E-29    5.8693E-116   7.8713E-182   3.0727E-160   1.4536E-156   6.0210E-89    3.7078E-106   3.9827E-103   2.6568E-131   1.0257E-159   4.7800E-217   1.3094E-133   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.4154E-200   2.9516E-157   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.1272E-195   4.7800E-217   4.7800E-217   1.1447E-209   1.2328E-181   4.7800E-217   4.7800E-217   4.7800E-217   2.2134E-136   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0110.00       1.0000E-2     5.7596E-16    1.2124E-27    4.1359E-36    4.7710E-44    8.8851E-44    2.1925E-114   2.4678E-54    4.2175E-62    2.5456E-54    5.5873E-132   1.1740E-200   3.4252E-215   1.1266E-13    1.7282E-25    8.0860E-43    3.7301E-48    4.7800E-217   1.0000E+0     2.2929E-143   4.7800E-217   2.7515E-26    4.5090E-104   9.1559E-165   6.6800E-145   5.1558E-141   1.8885E-79    2.8947E-95    2.1731E-92    5.0607E-118   4.5654E-144   4.7800E-217   5.9562E-120   4.7800E-217   7.7034E-207   4.7800E-217   4.7800E-217   2.4628E-202   2.2323E-180   1.7052E-141   4.7800E-217   9.8539E-212   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.5351E-176   4.7800E-217   4.7800E-217   6.2878E-189   2.2532E-163   4.7800E-217   4.7800E-217   4.7800E-217   2.1136E-122   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0110.00       3.0000E-2     1.9198E-16    4.0412E-28    1.3786E-36    9.1818E-45    2.9617E-44    7.3083E-115   8.2259E-55    1.4058E-62    8.4853E-55    1.8624E-132   3.9135E-201   1.1418E-215   3.7554E-14    5.7605E-26    2.6953E-43    1.2434E-48    4.7800E-217   1.0000E+0     1.3238E-143   4.7800E-217   1.5886E-26    8.6776E-105   3.0520E-165   2.2267E-145   1.7186E-141   6.2950E-80    9.6491E-96    7.2438E-93    1.6869E-118   1.5218E-144   4.7800E-217   1.9854E-120   4.7800E-217   2.5678E-207   4.7800E-217   4.7800E-217   8.2094E-203   7.4409E-181   5.6839E-142   4.7800E-217   3.2846E-212   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.1784E-176   4.7800E-217   4.7800E-217   2.0959E-189   7.5106E-164   4.7800E-217   4.7800E-217   4.7800E-217   7.0452E-123   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0120.00       1.0000E-2     6.3702E-14    7.6726E-25    2.5546E-32    2.3452E-39    1.7120E-39    2.0982E-104   6.8924E-49    5.2115E-56    7.0641E-49    2.7484E-120   3.5420E-183   1.2090E-196   9.2329E-12    1.2868E-22    1.7014E-38    2.6015E-43    4.7800E-217   1.0000E+0     5.1012E-131   8.7200E-203   9.6509E-24    1.0774E-94    6.8588E-151   1.7805E-132   1.7111E-128   6.0051E-72    1.3545E-86    7.5232E-84    2.3148E-107   1.9950E-131   1.9663E-207   5.6520E-109   4.7800E-217   1.2235E-188   4.7800E-217   1.2329E-198   1.4254E-184   1.6953E-164   8.9915E-129   1.4843E-216   2.7062E-193   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.5731E-160   4.7800E-217   4.7800E-217   4.5865E-172   1.3850E-148   4.7800E-217   4.7800E-217   4.7800E-217   3.6855E-111   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.3582E-198   
0120.00       3.0000E-2     2.1234E-14    2.5576E-25    8.5153E-33    4.5132E-40    5.7065E-40    6.9940E-105   2.2975E-49    1.7372E-56    2.3547E-49    9.1613E-121   1.1807E-183   4.0301E-197   3.0776E-12    4.2894E-23    5.6713E-39    8.6716E-44    4.7800E-217   1.0000E+0     2.9452E-131   5.0345E-203   5.5720E-24    2.0734E-95    2.2862E-151   5.9351E-133   5.7037E-129   2.0017E-72    4.5151E-87    2.5077E-84    7.7159E-108   6.6502E-132   6.5543E-208   1.8840E-109   4.7800E-217   4.0782E-189   4.7800E-217   4.1098E-199   4.7513E-185   5.6509E-165   2.9972E-129   4.9476E-217   9.0207E-194   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   8.5770E-161   4.7800E-217   4.7800E-217   1.5288E-172   4.6168E-149   4.7800E-217   4.7800E-217   4.7800E-217   1.2285E-111   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   7.8607E-199   
