T/K           P/MPa         H2O(g)        H2(g)         H2S(g)        HCl(g)        HF(g)         H(g)          HCOOH(g;cis)  HCOOH(g;trans)              HCOOH(g)      OH(g)         O2(g)         O(g)          CO2(g)        CH4(g)        CO(g)         COS(g)        C(g)          N2(g)         NO(g)         N(g)          NH3(g)        NaCl(g)       Na(g)         NaOH(g)       KOH(g)        SO2(g)        SH(g)         S2(g)         SO(g)         S(g)          Fe(g)         Fe(OH)2(g)    FeO(g)        FeOH(g)       FeO2(g)       Ni(g)         NiS(g)        NiOH(g)       Ni(OH)2(g)    Mn(g)         MnH(g)        SiO(g)        SiO2(g)       Si(g)         PO(g)         Mg(g)         MgO(g)        MgOH(g)       Mg(OH)2(g)    MgS(g)        CrO2(g)       Cr(OH)2(g)    Cr(OH)3(g)    AlO(g)        AlOH(g)       Al(g)         Al(OH)3(g)    Al(OH)2(g)    AlOH(g)       CaO(g)        CaOH(g)       Ca(g)         Ca(OH)2(g)    
0080.00       1.0000E+1     2.5365E-28    2.4324E-43    2.3687E-56    1.6067E-69    3.6316E-66    2.5430E-162   4.4889E-82    9.5594E-93    4.7875E-82    1.1514E-187   4.7800E-217   4.7800E-217   2.3903E-25    1.0328E-41    2.7980E-65    5.0533E-73    4.7800E-217   1.0000E+0     1.8632E-200   4.7800E-217   1.8403E-39    4.2391E-150   4.7800E-217   2.0732E-203   9.6835E-201   2.4168E-116   2.2712E-137   6.4403E-134   4.4631E-169   5.6889E-204   4.7800E-217   2.0534E-172   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.8728E-202   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.2998E-176   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0080.00       3.0000E+1     8.4549E-29    8.1081E-44    7.8955E-57    3.0921E-70    1.2105E-66    8.4765E-163   1.4963E-82    3.1865E-93    1.5958E-82    3.8381E-188   4.7800E-217   4.7800E-217   7.9677E-26    3.4428E-42    9.3266E-66    1.6844E-73    4.7800E-217   1.0000E+0     1.0757E-200   4.7800E-217   1.0625E-39    8.1582E-151   4.7800E-217   6.9106E-204   3.2278E-201   8.0561E-117   7.5706E-138   2.1468E-134   1.4877E-169   1.8963E-204   4.7800E-217   6.8448E-173   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.2910E-202   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.4333E-176   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0090.00       1.0000E+1     1.7460E-24    3.7508E-38    2.6859E-49    5.3403E-61    2.9965E-58    5.1994E-144   5.8825E-72    1.9092E-81    6.1847E-72    3.4494E-166   4.7800E-217   4.7800E-217   8.3603E-22    2.8213E-36    2.3796E-57    4.2137E-64    4.7800E-217   1.0000E+0     8.3667E-178   4.7800E-217   1.1418E-34    2.7234E-133   1.4886E-204   7.3173E-181   1.4428E-177   1.6333E-102   2.0078E-121   3.3277E-118   1.7420E-149   8.7492E-181   4.7800E-217   2.9819E-152   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.7535E-178   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.0839E-206   4.7800E-217   4.7800E-217   4.7800E-217   2.0078E-155   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0090.00       3.0000E+1     5.8200E-25    1.2503E-38    8.9531E-50    1.0277E-61    9.9884E-59    1.7331E-144   1.9608E-72    6.3640E-82    2.0616E-72    1.1498E-166   4.7800E-217   4.7800E-217   2.7868E-22    9.4043E-37    7.9322E-58    1.4046E-64    4.7800E-217   1.0000E+0     4.8305E-178   4.7800E-217   6.5922E-35    5.2412E-134   4.9619E-205   2.4391E-181   4.8092E-178   5.4442E-103   6.6926E-122   1.1092E-118   5.8065E-150   2.9164E-181   4.7800E-217   9.9395E-153   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   5.8450E-179   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.0280E-206   4.7800E-217   4.7800E-217   4.7800E-217   6.6928E-156   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0100.00       1.0000E+1     1.9411E-21    5.1361E-34    1.1086E-43    3.6821E-54    6.2167E-52    2.2970E-129   6.7302E-64    1.9320E-72    7.0000E-64    5.1041E-149   4.7800E-217   4.7800E-217   5.5943E-19    5.6743E-32    5.2380E-51    5.6299E-57    4.7800E-217   1.0000E+0     1.0971E-159   4.7800E-217   7.2095E-31    9.6442E-120   2.3614E-184   9.2182E-163   4.3608E-159   1.8063E-91    1.1124E-108   1.1948E-105   7.9704E-134   3.0770E-162   4.7800E-217   3.9283E-136   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.9246E-202   8.8549E-160   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.2382E-197   4.7800E-217   4.7800E-217   3.4342E-212   3.6985E-184   4.7800E-217   4.7800E-217   4.7800E-217   6.6401E-139   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0100.00       3.0000E+1     6.4703E-22    1.7120E-34    3.6955E-44    7.0861E-55    2.0722E-52    7.6568E-130   2.2434E-64    6.4398E-73    2.3334E-64    1.7014E-149   4.7800E-217   4.7800E-217   1.8648E-19    1.8914E-32    1.7460E-51    1.8766E-57    4.7800E-217   1.0000E+0     6.3339E-160   4.7800E-217   4.1624E-31    1.8560E-120   7.8713E-185   3.0727E-163   1.4536E-159   6.0210E-92    3.7078E-109   3.9827E-106   2.6568E-134   1.0257E-162   4.7800E-217   1.3094E-136   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.4154E-203   2.9516E-160   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.1272E-198   4.7800E-217   4.7800E-217   1.1447E-212   1.2328E-184   4.7800E-217   4.7800E-217   4.7800E-217   2.2134E-139   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0110.00       1.0000E+1     5.7596E-19    1.2124E-30    4.1359E-39    1.5087E-48    8.8851E-47    2.1925E-117   2.4678E-57    4.2175E-65    2.5456E-57    5.5873E-135   1.1740E-203   4.7800E-217   1.1266E-16    1.7282E-28    8.0860E-46    3.7301E-51    4.7800E-217   1.0000E+0     7.2507E-145   4.7800E-217   8.7011E-28    1.4259E-108   9.1559E-168   6.6800E-148   5.1558E-144   1.8885E-82    2.8947E-98    2.1731E-95    5.0607E-121   4.5654E-147   4.7800E-217   5.9562E-123   4.7800E-217   7.7034E-210   4.7800E-217   4.7800E-217   2.4628E-205   2.2323E-183   1.7052E-144   4.7800E-217   9.8539E-215   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.5351E-179   4.7800E-217   4.7800E-217   6.2878E-192   2.2532E-166   4.7800E-217   4.7800E-217   4.7800E-217   2.1136E-125   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0110.00       3.0000E+1     1.9198E-19    4.0412E-31    1.3786E-39    2.9035E-49    2.9617E-47    7.3083E-118   8.2259E-58    1.4058E-65    8.4853E-58    1.8624E-135   3.9135E-204   4.7800E-217   3.7554E-17    5.7605E-29    2.6953E-46    1.2434E-51    4.7800E-217   1.0000E+0     4.1862E-145   4.7800E-217   5.0236E-28    2.7441E-109   3.0520E-168   2.2267E-148   1.7186E-144   6.2950E-83    9.6491E-99    7.2438E-96    1.6869E-121   1.5218E-147   4.7800E-217   1.9854E-123   4.7800E-217   2.5678E-210   4.7800E-217   4.7800E-217   8.2094E-206   7.4409E-184   5.6839E-145   4.7800E-217   3.2846E-215   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.1784E-179   4.7800E-217   4.7800E-217   2.0959E-192   7.5106E-167   4.7800E-217   4.7800E-217   4.7800E-217   7.0452E-126   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0120.00       1.0000E+1     6.3702E-17    7.6726E-28    2.5546E-35    7.4160E-44    1.7120E-42    2.0982E-107   6.8924E-52    5.2115E-59    7.0641E-52    2.7484E-123   3.5420E-186   1.2090E-199   9.2329E-15    1.2868E-25    1.7014E-41    2.6015E-46    4.7800E-217   1.0000E+0     1.6131E-132   2.7575E-204   3.0519E-25    3.4069E-99    6.8588E-154   1.7805E-135   1.7111E-131   6.0051E-75    1.3545E-89    7.5232E-87    2.3148E-110   1.9950E-134   1.9663E-210   5.6520E-112   4.7800E-217   1.2235E-191   4.7800E-217   1.2329E-201   1.4254E-187   1.6953E-167   8.9915E-132   4.7800E-217   2.7062E-196   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.5731E-163   4.7800E-217   4.7800E-217   4.5865E-175   1.3850E-151   4.7800E-217   4.7800E-217   4.7800E-217   3.6855E-114   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.3582E-201   
0120.00       3.0000E+1     2.1234E-17    2.5576E-28    8.5153E-36    1.4272E-44    5.7065E-43    6.9940E-108   2.2975E-52    1.7372E-59    2.3547E-52    9.1613E-124   1.1807E-186   4.0301E-200   3.0776E-15    4.2894E-26    5.6713E-42    8.6716E-47    4.7800E-217   1.0000E+0     9.3135E-133   1.5920E-204   1.7620E-25    6.5566E-100   2.2862E-154   5.9351E-136   5.7037E-132   2.0017E-75    4.5151E-90    2.5077E-87    7.7159E-111   6.6502E-135   6.5543E-211   1.8840E-112   4.7800E-217   4.0782E-192   4.7800E-217   4.1098E-202   4.7513E-188   5.6509E-168   2.9972E-132   4.7800E-217   9.0207E-197   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   8.5770E-164   4.7800E-217   4.7800E-217   1.5288E-175   4.6168E-152   4.7800E-217   4.7800E-217   4.7800E-217   1.2285E-114   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   7.8607E-202   
