T/K           P/MPa         H2O(g)        H2(g)         H2S(g)        HCl(g)        HF(g)         H(g)          HCOOH(g;cis)  HCOOH(g;trans)              HCOOH(g)      OH(g)         O2(g)         O(g)          CO2(g)        CH4(g)        CO(g)         COS(g)        C(g)          N2(g)         NO(g)         N(g)          NH3(g)        NaCl(g)       Na(g)         NaOH(g)       KOH(g)        SO2(g)        SH(g)         S2(g)         SO(g)         S(g)          Fe(g)         Fe(OH)2(g)    FeO(g)        FeOH(g)       FeO2(g)       Ni(g)         NiS(g)        NiOH(g)       Ni(OH)2(g)    Mn(g)         MnH(g)        SiO(g)        SiO2(g)       Si(g)         PO(g)         Mg(g)         MgO(g)        MgOH(g)       Mg(OH)2(g)    MgS(g)        CrO2(g)       Cr(OH)2(g)    Cr(OH)3(g)    AlO(g)        AlOH(g)       Al(g)         Al(OH)3(g)    Al(OH)2(g)    AlOH(g)       CaO(g)        CaOH(g)       Ca(g)         Ca(OH)2(g)    
0080.00       1.0000E+6     4.0770E-49    2.5257E-74    1.7015E-98    5.4578E-80    2.9576E-129   2.5912E-180   2.3164E-133   4.9330E-144   2.4705E-133   1.8163E-195   4.2365E-216   4.2365E-216   1.1879E-50    2.3093E-139   8.9827E-101   1.1223E-119   4.2365E-216   1.0000E+0     9.1208E-193   4.2365E-216   6.1574E-81    8.2538E-154   4.2365E-216   4.2365E-216   4.2365E-216   4.0068E-112   1.6010E-166   3.0823E-161   4.7798E-175   4.2365E-216   4.2365E-216   2.2577E-197   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.4757E-201   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.2642E-195   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0080.00       3.0000E+6     1.3581E-49    8.4041E-75    5.6678E-99    1.8172E-80    9.8472E-130   8.6299E-181   7.7182E-134   1.6436E-144   8.2316E-134   6.0555E-196   4.2365E-216   4.2365E-216   3.9651E-51    7.6642E-140   2.9950E-101   3.7461E-120   4.2365E-216   1.0000E+0     5.2716E-193   4.2365E-216   3.5456E-81    2.7480E-154   4.2365E-216   4.2365E-216   4.2365E-216   1.3400E-112   5.3380E-167   1.0297E-161   1.5967E-175   4.2365E-216   4.2365E-216   7.5278E-198   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   8.2717E-202   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2096E-196   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0090.00       1.0000E+6     1.4184E-43    2.5051E-66    1.9305E-87    4.3188E-71    6.7216E-115   1.3437E-160   3.6022E-118   1.1691E-127   3.7873E-118   1.0843E-173   4.2365E-216   4.2365E-216   7.6654E-45    7.7999E-124   1.7938E-89    3.4182E-106   4.2365E-216   1.0000E+0     3.2180E-171   4.2365E-216   6.2323E-72    1.1056E-136   1.9311E-214   2.9838E-193   4.3398E-196   2.6001E-99    5.5838E-148   3.8536E-143   2.2800E-155   9.4153E-196   4.2365E-216   4.6983E-175   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.6121E-178   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.3618E-173   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0090.00       3.0000E+6     4.7250E-44    8.3374E-67    6.4311E-88    1.4381E-71    2.2382E-115   4.4755E-161   1.2003E-118   3.8957E-128   1.2620E-118   3.6149E-174   4.2365E-216   4.2365E-216   2.5582E-45    2.5899E-124   5.9808E-90    1.1408E-106   4.2365E-216   1.0000E+0     1.8597E-171   4.2365E-216   3.5898E-72    3.6816E-137   6.4320E-215   9.9403E-194   1.4457E-196   8.6923E-100   1.8616E-148   1.2870E-143   7.6148E-156   3.1415E-196   4.2365E-216   1.5665E-175   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   5.3849E-179   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   7.8658E-174   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0100.00       1.0000E+6     3.8257E-39    6.2918E-60    1.3367E-78    5.6930E-64    2.0642E-103   8.0397E-145   5.0142E-106   1.4394E-114   5.2153E-106   2.8742E-156   3.1613E-213   4.2365E-216   3.4023E-40    2.0007E-111   1.9800E-80    2.0946E-95    4.2365E-216   1.0000E+0     5.5816E-154   4.2365E-216   9.7751E-65    5.5284E-123   3.0642E-193   6.7358E-174   1.8506E-176   4.6018E-89    3.8318E-133   1.1574E-128   1.2621E-139   3.0284E-176   4.2365E-216   3.3675E-157   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.1025E-200   2.8563E-160   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.0174E-199   4.2365E-216   4.2365E-216   4.2365E-216   2.6358E-211   4.2365E-216   4.2365E-216   4.2365E-216   1.5245E-155   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0100.00       3.0000E+6     1.2746E-39    2.0943E-60    4.4532E-79    1.8959E-64    6.8742E-104   2.6780E-145   1.6708E-106   4.7963E-115   1.7378E-106   9.5822E-157   1.0556E-213   4.2365E-216   1.1353E-40    6.6459E-112   6.6015E-81    6.9895E-96    4.2365E-216   1.0000E+0     3.2253E-154   4.2365E-216   5.6318E-65    1.8411E-123   1.0207E-193   2.2441E-174   6.1654E-177   1.5379E-89    1.2775E-133   3.8647E-129   4.2144E-140   1.0104E-176   4.2365E-216   1.1228E-157   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   3.6812E-201   9.5389E-161   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.3402E-199   4.2365E-216   4.2365E-216   4.2365E-216   8.7788E-212   4.2365E-216   4.2365E-216   4.2365E-216   5.0776E-156   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0110.00       1.0000E+6     1.6077E-35    1.0899E-54    2.2708E-71    3.8181E-58    5.1892E-94    6.5737E-132   4.2452E-96    7.2552E-104   4.3791E-96    5.2016E-142   1.1319E-193   1.0635E-215   2.1559E-36    2.7720E-101   4.9833E-73    1.4040E-86    4.2365E-216   1.0000E+0     7.1194E-140   4.2365E-216   7.4164E-59    8.8875E-112   6.7614E-176   4.5924E-158   2.1254E-160   1.1120E-80    5.3008E-121   8.1061E-117   9.5969E-127   2.7883E-160   4.2365E-216   1.3704E-142   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   2.4655E-210   3.4064E-182   2.4224E-145   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   9.5430E-181   4.2365E-216   4.2365E-216   4.2243E-215   1.4092E-191   4.2365E-216   4.2365E-216   4.2365E-216   5.6091E-141   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0110.00       3.0000E+6     5.3563E-36    3.6283E-55    7.5657E-72    1.2716E-58    1.7283E-94    2.1898E-132   1.4146E-96    2.4177E-104   1.4592E-96    1.7341E-142   3.7790E-194   4.2365E-216   7.1933E-37    9.2110E-102   1.6614E-73    4.6846E-87    4.2365E-216   1.0000E+0     4.1136E-140   4.2365E-216   4.2737E-59    2.9600E-112   2.2524E-176   1.5301E-158   7.0813E-161   3.7154E-81    1.7672E-121   2.7063E-117   3.2040E-127   9.3017E-161   4.2365E-216   4.5690E-143   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   8.2364E-211   1.1372E-182   8.0883E-146   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   3.1833E-181   4.2365E-216   4.2365E-216   1.4068E-215   4.6940E-192   4.2365E-216   4.2365E-216   4.2365E-216   1.8683E-141   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   
0120.00       1.0000E+6     1.6759E-32    2.5396E-50    2.3928E-65    2.7426E-53    3.5492E-86    3.8173E-121   7.8400E-88    5.9280E-95    8.0353E-88    3.9743E-130   2.2377E-177   9.6096E-198   3.1729E-33    7.6692E-93    7.3562E-67    3.1830E-79    4.2365E-216   1.0000E+0     4.0546E-128   8.7200E-207   5.8118E-54    1.9298E-102   1.9113E-161   7.1750E-145   5.1326E-147   1.0736E-73    6.9738E-111   6.0247E-107   5.2065E-116   5.6458E-147   4.2365E-216   2.0510E-130   4.2365E-216   3.0703E-208   4.2365E-216   4.3612E-199   1.4268E-192   8.6714E-167   6.6507E-133   4.2365E-216   1.8043E-203   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.9718E-165   4.2365E-216   4.2365E-216   8.7599E-197   3.8253E-175   4.2365E-216   4.2365E-216   4.2365E-216   7.6219E-129   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   1.8054E-203   
0120.00       3.0000E+6     5.5838E-33    8.4555E-51    7.9726E-66    9.1347E-54    1.1821E-86    1.2717E-121   2.6126E-88    1.9755E-95    2.6777E-88    1.3250E-130   7.4697E-178   3.2055E-198   1.0586E-33    2.5490E-93    2.4525E-67    1.0620E-79    4.2365E-216   1.0000E+0     2.3426E-128   5.0345E-207   3.3495E-54    6.4277E-103   6.3673E-162   2.3906E-145   1.7101E-147   3.5864E-74    2.3249E-111   2.0111E-107   1.7380E-116   1.8833E-147   4.2365E-216   6.8381E-131   4.2365E-216   1.0235E-208   4.2365E-216   1.4556E-199   4.7656E-193   2.8946E-167   2.2204E-133   4.2365E-216   6.0133E-204   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   6.5772E-166   4.2365E-216   4.2365E-216   2.9176E-197   1.2742E-175   4.2365E-216   4.2365E-216   4.2365E-216   2.5389E-129   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   4.2365E-216   6.0098E-204   
