T/K           P/MPa         H2O(g)        H2(g)         H2S(g)        HCl(g)        HF(g)         H(g)          HCOOH(g;cis)  HCOOH(g;trans)              HCOOH(g)      OH(g)         O2(g)         O(g)          CO2(g)        CH4(g)        CO(g)         COS(g)        C(g)          N2(g)         NO(g)         N(g)          NH3(g)        NaCl(g)       Na(g)         NaOH(g)       KOH(g)        SO2(g)        SH(g)         S2(g)         SO(g)         S(g)          Fe(g)         Fe(OH)2(g)    FeO(g)        FeOH(g)       FeO2(g)       Ni(g)         NiS(g)        NiOH(g)       Ni(OH)2(g)    Mn(g)         MnH(g)        SiO(g)        SiO2(g)       Si(g)         PO(g)         Mg(g)         MgO(g)        MgOH(g)       Mg(OH)2(g)    MgS(g)        CrO2(g)       Cr(OH)2(g)    Cr(OH)3(g)    AlO(g)        AlOH(g)       Al(g)         Al(OH)3(g)    Al(OH)2(g)    AlOH(g)       CaO(g)        CaOH(g)       Ca(g)         Ca(OH)2(g)    
0080.00       1.0000E+2     2.5365E-29    2.4324E-44    2.3687E-57    5.0808E-71    3.6316E-67    2.5430E-163   4.4889E-83    9.5594E-94    4.7875E-83    1.1514E-188   4.7800E-217   4.7800E-217   2.3903E-26    1.0328E-42    2.7980E-66    5.0533E-74    4.7800E-217   1.0000E+0     5.8918E-201   4.7800E-217   5.8196E-40    1.3405E-151   4.7800E-217   2.0732E-204   9.6835E-202   2.4168E-117   2.2712E-138   6.4403E-135   4.4631E-170   5.6889E-205   4.7800E-217   2.0534E-173   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.8728E-203   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.2998E-177   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0080.00       3.0000E+2     8.4549E-30    8.1081E-45    7.8955E-58    9.7780E-72    1.2105E-67    8.4765E-164   1.4963E-83    3.1865E-94    1.5958E-83    3.8381E-189   4.7800E-217   4.7800E-217   7.9677E-27    3.4428E-43    9.3266E-67    1.6844E-74    4.7800E-217   1.0000E+0     3.4016E-201   4.7800E-217   3.3600E-40    2.5798E-152   4.7800E-217   6.9106E-205   3.2278E-202   8.0561E-118   7.5706E-139   2.1468E-135   1.4877E-170   1.8963E-205   4.7800E-217   6.8448E-174   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.2910E-203   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.4333E-177   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0090.00       1.0000E+2     1.7460E-25    3.7508E-39    2.6859E-50    1.6887E-62    2.9965E-59    5.1994E-145   5.8825E-73    1.9092E-82    6.1847E-73    3.4494E-167   4.7800E-217   4.7800E-217   8.3603E-23    2.8213E-37    2.3796E-58    4.2137E-65    4.7800E-217   1.0000E+0     2.6458E-178   4.7800E-217   3.6107E-35    8.6122E-135   1.4886E-205   7.3173E-182   1.4428E-178   1.6333E-103   2.0078E-122   3.3277E-119   1.7420E-150   8.7492E-182   4.7800E-217   2.9819E-153   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.7535E-179   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.0839E-207   4.7800E-217   4.7800E-217   4.7800E-217   2.0078E-156   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0090.00       3.0000E+2     5.8200E-26    1.2503E-39    8.9531E-51    3.2500E-63    9.9884E-60    1.7331E-145   1.9608E-73    6.3640E-83    2.0616E-73    1.1498E-167   4.7800E-217   4.7800E-217   2.7868E-23    9.4043E-38    7.9322E-59    1.4046E-65    4.7800E-217   1.0000E+0     1.5275E-178   4.7800E-217   2.0846E-35    1.6574E-135   4.9619E-206   2.4391E-182   4.8092E-179   5.4442E-104   6.6926E-123   1.1092E-119   5.8065E-151   2.9164E-182   4.7800E-217   9.9395E-154   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   5.8450E-180   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.0280E-207   4.7800E-217   4.7800E-217   4.7800E-217   6.6928E-157   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0100.00       1.0000E+2     1.9411E-22    5.1361E-35    1.1086E-44    1.1644E-55    6.2167E-53    2.2970E-130   6.7302E-65    1.9320E-73    7.0000E-65    5.1041E-150   4.7800E-217   4.7800E-217   5.5943E-20    5.6743E-33    5.2380E-52    5.6299E-58    4.7800E-217   1.0000E+0     3.4692E-160   4.7800E-217   2.2798E-31    3.0498E-121   2.3614E-185   9.2182E-164   4.3608E-160   1.8063E-92    1.1124E-109   1.1948E-106   7.9704E-135   3.0770E-163   4.7800E-217   3.9283E-137   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.9246E-203   8.8549E-161   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   1.2382E-198   4.7800E-217   4.7800E-217   3.4342E-213   3.6985E-185   4.7800E-217   4.7800E-217   4.7800E-217   6.6401E-140   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0100.00       3.0000E+2     6.4703E-23    1.7120E-35    3.6955E-45    2.2408E-56    2.0722E-53    7.6568E-131   2.2434E-65    6.4398E-74    2.3334E-65    1.7014E-150   4.7800E-217   4.7800E-217   1.8648E-20    1.8914E-33    1.7460E-52    1.8766E-58    4.7800E-217   1.0000E+0     2.0030E-160   4.7800E-217   1.3163E-31    5.8693E-122   7.8713E-186   3.0727E-164   1.4536E-160   6.0210E-93    3.7078E-110   3.9827E-107   2.6568E-135   1.0257E-163   4.7800E-217   1.3094E-137   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.4154E-204   2.9516E-161   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.1272E-199   4.7800E-217   4.7800E-217   1.1447E-213   1.2328E-185   4.7800E-217   4.7800E-217   4.7800E-217   2.2134E-140   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0110.00       1.0000E+2     5.7596E-20    1.2124E-31    4.1359E-40    4.7710E-50    8.8851E-48    2.1925E-118   2.4678E-58    4.2175E-66    2.5456E-58    5.5873E-136   1.1740E-204   4.7800E-217   1.1266E-17    1.7282E-29    8.0860E-47    3.7301E-52    4.7800E-217   1.0000E+0     2.2929E-145   4.7800E-217   2.7515E-28    4.5090E-110   9.1559E-169   6.6800E-149   5.1558E-145   1.8885E-83    2.8947E-99    2.1731E-96    5.0607E-122   4.5654E-148   4.7800E-217   5.9562E-124   4.7800E-217   7.7034E-211   4.7800E-217   4.7800E-217   2.4628E-206   2.2323E-184   1.7052E-145   4.7800E-217   9.8538E-216   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   6.5351E-180   4.7800E-217   4.7800E-217   6.2878E-193   2.2532E-167   4.7800E-217   4.7800E-217   4.7800E-217   2.1136E-126   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0110.00       3.0000E+2     1.9198E-20    4.0412E-32    1.3786E-40    9.1818E-51    2.9617E-48    7.3083E-119   8.2259E-59    1.4058E-66    8.4853E-59    1.8624E-136   3.9135E-205   4.7800E-217   3.7554E-18    5.7605E-30    2.6953E-47    1.2434E-52    4.7800E-217   1.0000E+0     1.3238E-145   4.7800E-217   1.5886E-28    8.6776E-111   3.0520E-169   2.2267E-149   1.7186E-145   6.2950E-84    9.6491E-100   7.2438E-97    1.6869E-122   1.5218E-148   4.7800E-217   1.9854E-124   4.7800E-217   2.5678E-211   4.7800E-217   4.7800E-217   8.2094E-207   7.4409E-185   5.6839E-146   4.7800E-217   3.2846E-216   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.1784E-180   4.7800E-217   4.7800E-217   2.0959E-193   7.5106E-168   4.7800E-217   4.7800E-217   4.7800E-217   7.0452E-127   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   
0120.00       1.0000E+2     6.3702E-18    7.6726E-29    2.5546E-36    2.3452E-45    1.7120E-43    2.0982E-108   6.8924E-53    5.2115E-60    7.0641E-53    2.7484E-124   3.5420E-187   1.2090E-200   9.2329E-16    1.2868E-26    1.7014E-42    2.6015E-47    4.7800E-217   1.0000E+0     5.1012E-133   8.7200E-205   9.6509E-26    1.0774E-100   6.8588E-155   1.7805E-136   1.7111E-132   6.0051E-76    1.3545E-90    7.5232E-88    2.3148E-111   1.9950E-135   1.9663E-211   5.6520E-113   4.7800E-217   1.2235E-192   4.7800E-217   1.2329E-202   1.4254E-188   1.6953E-168   8.9915E-133   4.7800E-217   2.7062E-197   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.5731E-164   4.7800E-217   4.7800E-217   4.5865E-176   1.3850E-152   4.7800E-217   4.7800E-217   4.7800E-217   3.6855E-115   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   2.3582E-202   
0120.00       3.0000E+2     2.1234E-18    2.5576E-29    8.5153E-37    4.5132E-46    5.7065E-44    6.9940E-109   2.2975E-53    1.7372E-60    2.3547E-53    9.1613E-125   1.1807E-187   4.0301E-201   3.0776E-16    4.2894E-27    5.6713E-43    8.6716E-48    4.7800E-217   1.0000E+0     2.9452E-133   5.0345E-205   5.5720E-26    2.0734E-101   2.2862E-155   5.9351E-137   5.7037E-133   2.0017E-76    4.5151E-91    2.5077E-88    7.7159E-112   6.6502E-136   6.5543E-212   1.8840E-113   4.7800E-217   4.0782E-193   4.7800E-217   4.1098E-203   4.7513E-189   5.6509E-169   2.9972E-133   4.7800E-217   9.0207E-198   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   8.5770E-165   4.7800E-217   4.7800E-217   1.5288E-176   4.6168E-153   4.7800E-217   4.7800E-217   4.7800E-217   1.2285E-115   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   4.7800E-217   7.8607E-203   
