,layer,temp.[K],press.[10^-6bar],altitude[cm],height.of.layer[cm],"conv.unstable?[1:yes,0:no]","conv.lapse-rate?[1:yes,0:no]",pl.eff.temp.[K],press.[MPa]
0,BOA,1620.38,1000000000.0,-502227000.0,,0,0,499.987,100000000.0
1,0,1620.29,895680000.0,-489971000.0,24510500.0,0,0,,89568000.0
2,1,1620.11,718554000.0,-465462000.0,24507800.0,0,0,,71855400.0
3,2,1619.96,576455000.0,-440956000.0,24505600.0,0,0,,57645500.0
4,3,1619.85,462457000.0,-416451000.0,24503800.0,0,0,,46245700.0
5,4,1619.75,371003000.0,-391948000.0,24502400.0,0,0,,37100300.0
6,5,1619.68,297635000.0,-367446000.0,24501200.0,0,0,,29763500.0
7,6,1619.62,238776000.0,-342945000.0,24500300.0,0,0,,23877600.0
8,7,1619.57,191556000.0,-318445000.0,24499600.0,0,0,,19155600.0
9,8,1619.53,153675000.0,-293946000.0,24499000.0,0,0,,15367500.0
10,9,1619.5,123285000.0,-269447000.0,24498600.0,0,0,,12328500.0
11,10,1619.48,98904300.0,-244949000.0,24498200.0,0,0,,9890430.0
12,11,1619.45,79345400.0,-220451000.0,24497900.0,0,0,,7934540.0
13,12,1619.43,63654300.0,-195953000.0,24497600.0,0,0,,6365430.0
14,13,1619.41,51066300.0,-171456000.0,24497200.0,0,0,,5106630.0
15,14,1619.38,40967600.0,-146959000.0,24496800.0,0,0,,4096760.0
16,15,1619.35,32866000.0,-122462000.0,24496300.0,0,0,,3286600.0
17,16,1619.3,26366500.0,-97966300.0,24495500.0,0,0,,2636650.0
18,17,1619.22,21152400.0,-73471500.0,24494300.0,0,0,,2115240.0
19,18,1619.09,16969300.0,-48978100.0,24492400.0,0,0,,1696930.0
20,19,1618.9,13613500.0,-24487100.0,24489500.0,0,0,,1361350.0
21,20,1618.59,10921400.0,0.0,24484800.0,0,0,,1092140.0
22,21,1618.07,8761610.0,24480800.0,24476900.0,0,0,,876161.0
23,22,1617.18,7028940.0,48951000.0,24463500.0,0,0,,702894.0
24,23,1615.66,5638920.0,73403000.0,24440500.0,0,0,,563892.0
25,24,1613.1,4523790.0,97824100.0,24401700.0,0,0,,452379.0
26,25,1608.85,3629180.0,122194000.0,24337500.0,0,0,,362918.0
27,26,1602.02,2911490.0,146479000.0,24234100.0,0,0,,291149.0
28,27,1591.31,2335720.0,170633000.0,24072200.0,0,0,,233572.0
29,28,1574.89,1873820.0,194581000.0,23823700.0,0,0,,187382.0
30,29,1549.91,1503260.0,218215000.0,23445800.0,0,0,,150326.0
31,30,1511.52,1205980.0,241371000.0,22865000.0,0,0,,120598.0
32,31,1449.16,967489.0,263764000.0,21921800.0,0,1,,96748.9
33,32,1386.13,776162.0,285209000.0,20968300.0,0,1,,77616.2
34,33,1325.06,622671.0,305716000.0,20044400.0,0,1,,62267.1
35,34,1265.9,499533.0,325313000.0,19149600.0,0,1,,49953.3
36,35,1208.64,400747.0,344029000.0,18283400.0,0,1,,40074.7
37,36,1153.25,321497.0,361894000.0,17445500.0,0,1,,32149.7
38,37,1099.7,257919.0,378934000.0,16635400.0,0,1,,25791.9
39,38,1047.98,206914.0,395178000.0,15853100.0,0,1,,20691.4
40,39,998.076,165995.0,410654000.0,15098100.0,0,1,,16599.5
41,40,949.96,133169.0,425388000.0,14370300.0,0,1,,13316.9
42,41,903.619,106834.0,439408000.0,13669300.0,0,1,,10683.4
43,42,859.033,85706.6,452740000.0,12994800.0,0,1,,8570.660000000002
44,43,816.176,68757.6,465410000.0,12346500.0,0,1,,6875.760000000001
45,44,775.032,55160.3,477446000.0,11724100.0,0,1,,5516.03
46,45,735.588,44252.0,488872000.0,11127400.0,0,1,,4425.2
47,46,697.813,35500.9,499713000.0,10556000.0,0,1,,3550.09
48,47,661.667,28480.4,509996000.0,10009200.0,0,1,,2848.04
49,48,627.114,22848.2,519744000.0,9486490.0,0,1,,2284.82
50,49,594.12,18329.8,528981000.0,8987390.0,0,1,,1832.98
51,50,562.643,14705.0,537730000.0,8511230.0,0,1,,1470.5
52,51,532.636,11797.0,546014000.0,8057310.0,0,1,,1179.7
53,52,504.052,9464.04,553855000.0,7624910.0,0,1,,946.4040000000001
54,53,477.968,7592.46,561283000.0,7230330.0,0,0,,759.246
55,54,458.943,6091.01,568369000.0,6942530.0,0,0,,609.101
56,55,443.9,4886.47,575198000.0,6714980.0,0,0,,488.647
57,56,430.365,3920.14,581811000.0,6510230.0,0,0,,392.014
58,57,417.497,3144.91,588224000.0,6315570.0,0,0,,314.491
59,58,405.534,2522.98,594449000.0,6134600.0,0,0,,252.298
60,59,394.917,2024.04,600503000.0,5974000.0,0,0,,202.404
61,60,384.958,1623.78,606402000.0,5823350.0,0,0,,162.378
62,61,375.948,1302.66,612157000.0,5687060.0,0,0,,130.26600000000002
63,62,368.712,1045.05,617789000.0,5577590.0,0,0,,104.505
64,63,362.505,838.388,623320000.0,5483700.0,0,0,,83.8388
65,64,356.487,672.591,628758000.0,5392670.0,0,0,,67.2591
66,65,351.05,539.582,634110000.0,5310410.0,0,0,,53.9582
67,66,346.181,432.876,639383000.0,5236770.0,0,0,,43.2876
68,67,341.603,347.272,644585000.0,5167510.0,0,0,,34.7272
69,68,337.7,278.597,649723000.0,5108470.0,0,0,,27.859699999999997
70,69,335.023,223.502,654811000.0,5067970.0,0,0,,22.3502
71,70,332.968,179.303,659864000.0,5036880.0,0,0,,17.9303
72,71,331.877,143.845,664893000.0,5020390.0,0,0,,14.3845
73,72,332.808,115.399,669920000.0,5034460.0,0,0,,11.5399
74,73,335.082,92.5779,674972000.0,5068860.0,0,0,,9.25779
75,74,336.88,74.27,680054000.0,5096060.0,0,0,,7.427
76,75,339.766,59.5826,685172000.0,5139710.0,0,0,,5.95826
77,76,344.218,47.7998,690345000.0,5207060.0,0,0,,4.77998
78,77,349.532,38.3471,695593000.0,5287450.0,0,0,,3.8347099999999994
79,78,356.366,30.7637,700932000.0,5390830.0,0,0,,3.07637
80,79,365.018,24.68,706388000.0,5521710.0,0,0,,2.468
81,80,374.192,19.7993,711979000.0,5660490.0,0,0,,1.9799299999999997
82,81,382.764,15.8839,717704000.0,5790160.0,0,0,,1.58839
83,82,391.863,12.7427,723563000.0,5927810.0,0,0,,1.27427
84,83,401.161,10.2228,729562000.0,6068460.0,0,0,,1.02228
85,84,408.573,8.20117,735686000.0,6180570.0,0,0,,0.8201169999999999
86,85,415.065,6.57933,741916000.0,6278780.0,0,0,,0.657933
87,86,421.064,5.27823,748240000.0,6369540.0,0,0,,0.527823
88,87,426.242,4.23442,754649000.0,6447860.0,0,0,,0.423442
89,88,430.383,3.39704,761128000.0,6510500.0,0,0,,0.339704
90,89,433.579,2.72525,767662000.0,6558850.0,0,0,,0.272525
