,T/K,P/MPa,H2O(g),H2(g),H2S(g),HCl(g),HF(g),H(g),HCOOH(g;cis),HCOOH(g;trans),HCOOH(g),OH(g),O2(g),O(g),CO2(g),CH4(g),CO(g),COS(g),C(g),N2(g),NO(g),N(g),NH3(g),NaCl(g),Na(g),NaOH(g),KOH(g),SO2(g),SH(g),S2(g),SO(g),S(g),Fe(g),Fe(OH)2(g),FeO(g),FeOH(g),FeO2(g),Ni(g),NiS(g),NiOH(g),Ni(OH)2(g),Mn(g),MnH(g),SiO(g),SiO2(g),Si(g),PO(g),Mg(g),MgO(g),MgOH(g),Mg(OH)2(g),MgS(g),CrO2(g),Cr(OH)2(g),Cr(OH)3(g),AlO(g),AlOH(g),Al(g),Al(OH)3(g),Al(OH)2(g),AlOH(g).1,CaO(g),CaOH(g),Ca(g),Ca(OH)2(g),layer,temp.[K],press.[10^-6bar],altitude[cm],height.of.layer[cm],"conv.unstable?[1:yes,0:no]","conv.lapse-rate?[1:yes,0:no]",pl.eff.temp.[K],press.[MPa]
0,4000.0,100000000.0,0.00047863,4.4182e-06,1.8339e-07,5.5752e-06,7.2934e-06,1.0607e-07,2.015e-06,1.3028e-06,3.242e-06,6.6187e-06,3.5954e-06,8.9157e-08,0.00022954,3.691e-10,1.9068e-05,3.9271e-08,2.9214e-14,0.40406,0.00035008,3.5647e-08,2.4654e-05,4.974e-08,3.2313e-10,1.441e-07,1.1163e-07,2.8997e-05,4.1974e-08,1.0407e-09,6.5264e-07,2.3209e-09,5.9909e-11,1.7232e-05,1.1301e-09,1.5934e-08,1.4836e-09,4.6002e-09,3.0507e-10,1.5444e-06,0.0001377,7.9942e-11,3.0922e-09,6.3382e-10,2.4082e-09,1.9297e-15,3.5076e-06,1.487e-11,1.0629e-09,1.1458e-08,1.4342e-05,4.4287e-12,7.5259e-08,2.7407e-06,5.9097e-05,2.1387e-11,2.1332e-09,5.3159e-14,0.0001733,3.2006e-07,2.1332e-09,4.6861e-14,5.4169e-12,8.2603e-16,1.9594e-08,BOA,4090.26,1000000000.0,-244286000.0,,0,0,544.798,100000000.0
1,4000.0,100000000.0,0.00047863,4.4182e-06,1.8339e-07,5.5752e-06,7.2934e-06,1.0607e-07,2.015e-06,1.3028e-06,3.242e-06,6.6187e-06,3.5954e-06,8.9157e-08,0.00022954,3.691e-10,1.9068e-05,3.9271e-08,2.9214e-14,0.40406,0.00035008,3.5647e-08,2.4654e-05,4.974e-08,3.2313e-10,1.441e-07,1.1163e-07,2.8997e-05,4.1974e-08,1.0407e-09,6.5264e-07,2.3209e-09,5.9909e-11,1.7232e-05,1.1301e-09,1.5934e-08,1.4836e-09,4.6002e-09,3.0507e-10,1.5444e-06,0.0001377,7.9942e-11,3.0922e-09,6.3382e-10,2.4082e-09,1.9297e-15,3.5076e-06,1.487e-11,1.0629e-09,1.1458e-08,1.4342e-05,4.4287e-12,7.5259e-08,2.7407e-06,5.9097e-05,2.1387e-11,2.1332e-09,5.3159e-14,0.0001733,3.2006e-07,2.1332e-09,4.6861e-14,5.4169e-12,8.2603e-16,1.9594e-08,0,4034.45,895680000.0,-236621000.0,15330100.0,0,0,,89568000.0
2,3920.0,100000000.0,0.00061129,5.7086e-06,2.5021e-07,3.9963e-06,8.4459e-06,1.046e-07,2.628e-06,1.6818e-06,4.212e-06,6.2411e-06,2.5801e-06,6.4493e-08,0.00023452,7.1122e-10,1.951e-05,4.2169e-08,2.1019e-14,0.36049,0.00026511,2.5003e-08,3.5203e-05,2.8383e-08,2.5937e-10,1.3308e-07,1.5534e-07,2.6015e-05,4.5611e-08,1.04e-09,5.734e-07,2.027e-09,5.0081e-11,2.0509e-05,8.8233e-10,1.5291e-08,1.1141e-09,3.8814e-09,2.7606e-10,1.5211e-06,0.00015838,6.8687e-11,3.1789e-09,4.8586e-10,1.7758e-09,1.2354e-15,2.9073e-06,1.1677e-11,7.4848e-10,1.0268e-08,1.5681e-05,3.6215e-12,5.7284e-08,3.0312e-06,7.4688e-05,1.44e-11,1.9283e-09,3.6246e-14,0.00023377,3.3494e-07,1.9283e-09,2.1976e-14,3.3607e-12,4.2809e-16,1.5032e-08,1,3922.9,718554000.0,-221503000.0,14906200.0,0,0,,71855400.0
3,3820.0,30000000.0,0.002782,2.6218e-05,1.2313e-06,1.173e-05,3.3878e-05,3.3988e-07,1.2225e-05,7.719e-06,1.9496e-05,1.9234e-05,5.6378e-06,1.4156e-07,0.00080423,5.3746e-09,6.6601e-05,1.5307e-07,4.5003e-14,0.5762,0.00046098,3.9101e-08,0.00013652,6.2124e-08,6.4686e-10,3.9814e-07,7.523e-07,7.5966e-05,1.6786e-07,3.4483e-09,1.6196e-06,5.6472e-09,1.307e-10,8.4769e-05,2.1183e-09,4.7734e-08,2.5549e-09,1.0255e-08,7.9835e-10,4.9162e-06,0.00062648,1.8577e-10,1.0789e-08,1.137e-09,3.9746e-09,2.2712e-15,4.8106e-06,2.8037e-11,1.5676e-09,2.9264e-08,5.7925e-05,9.1504e-12,1.3354e-07,1.1362e-05,0.00033304,2.8435e-11,5.5549e-09,7.2296e-14,0.0011351,1.1675e-06,5.5549e-09,2.7018e-14,5.9082e-12,5.9596e-16,3.4845e-08,2,3815.67,576455000.0,-206801000.0,14498700.0,0,0,,57645500.0
4,3710.0,30000000.0,0.0040263,3.8583e-05,1.9685e-06,1.0573e-05,4.2091e-05,3.3227e-07,1.8133e-05,1.1272e-05,2.8751e-05,1.757e-05,3.409e-06,8.6577e-08,0.00082512,1.4407e-08,6.8359e-05,1.6924e-07,2.7037e-14,0.214,0.00020086,1.516e-08,0.00015534,3.9517e-08,4.6144e-10,3.5114e-07,6.8787e-07,6.4485e-05,1.901e-07,3.4443e-09,1.3312e-06,4.5967e-09,9.9033e-11,0.00010985,1.4477e-09,4.4578e-08,1.6436e-09,7.8773e-09,6.8361e-10,4.7794e-06,0.00077122,1.4668e-10,1.1163e-08,7.5274e-10,2.4841e-09,1.1434e-15,4.1057e-06,1.9372e-11,9.184e-10,2.4693e-08,6.6188e-05,6.7274e-12,8.7699e-08,1.3152e-05,0.00047236,1.5502e-11,4.7276e-09,4.0102e-14,0.0017774,1.2415e-06,4.7276e-09,8.4334e-15,2.8088e-12,2.1605e-16,2.287e-08,3,3712.43,462457000.0,-192498000.0,14106500.0,0,0,,46245700.0
5,3610.0,30000000.0,0.004615,3.6124e-05,1.9958e-06,1.4359e-05,4.4594e-05,2.6126e-07,1.9716e-05,1.2073e-05,3.109e-05,1.6094e-05,3.2516e-06,6.7116e-08,0.0009744,1.1566e-08,6.489e-05,1.7263e-07,1.2331e-14,0.13458,0.00014347,7.7835e-09,0.00011657,4.7684e-08,3.3283e-10,3.1044e-07,6.298e-07,8.5216e-05,1.7214e-07,3.4405e-09,1.3713e-06,3.7714e-09,5.6574e-11,0.00010511,9.3142e-10,3.1124e-08,1.2399e-09,4.9019e-09,4.7282e-10,3.7311e-06,0.00075562,8.7153e-11,6.9101e-09,4.6882e-10,1.8215e-09,4.4015e-16,2.7362e-06,9.4316e-12,4.7461e-10,1.4564e-08,5.2274e-05,3.4781e-12,6.5075e-08,1.088e-05,0.00047519,7.7371e-12,2.9084e-09,1.635e-14,0.0019662,9.4625e-07,2.9084e-09,2.1989e-15,8.8044e-13,5.2243e-17,9.7749e-09,4,3613.06,371003000.0,-178580000.0,13728900.0,0,0,,37100300.0
6,3520.0,30000000.0,0.0049547,3.0217e-05,1.8006e-06,2.0301e-05,4.5187e-05,1.9628e-07,1.9691e-05,1.1886e-05,3.0891e-05,1.4802e-05,3.4888e-06,5.5846e-08,0.0011816,6.8831e-09,6.036e-05,1.7198e-07,5.4041e-15,0.10872,0.00012369,4.6327e-09,8.357e-05,6.3767e-08,2.4376e-10,2.7565e-07,5.7823e-07,0.00012455,1.4783e-07,3.4369e-09,1.4941e-06,3.1264e-09,3.075e-11,9.3166e-05,6.0025e-10,2.0457e-08,9.8356e-10,2.9449e-09,3.1432e-10,2.7796e-06,0.00069834,4.9155e-11,3.8225e-09,2.9249e-10,1.4059e-09,1.6429e-16,1.771e-06,4.3274e-12,2.4412e-10,8.0117e-09,3.7945e-05,1.6899e-12,5.0337e-08,8.3152e-06,0.00043727,3.8808e-12,1.6778e-09,6.3872e-15,0.0019797,6.689e-07,1.6778e-09,5.7703e-16,2.5921e-13,1.2036e-17,3.8613e-09,5,3517.33,297635000.0,-165033000.0,13365100.0,0,0,,29763500.0
7,3420.0,30000000.0,0.0053751,2.4438e-05,1.5913e-06,3.0438e-05,4.5728e-05,1.4018e-07,1.9547e-05,1.1604e-05,3.0483e-05,1.3409e-05,3.7963e-06,4.506e-08,0.0014764,3.711e-09,5.5186e-05,1.7049e-07,2.043e-15,0.084578,0.00010398,2.5203e-09,5.6323e-05,8.9536e-08,1.6885e-10,2.3921e-07,5.22e-07,0.0001947,1.2346e-07,3.4326e-09,1.6538e-06,2.5092e-09,1.4992e-11,8.0583e-05,3.5766e-10,1.2459e-08,7.478e-10,1.6148e-09,1.9431e-10,1.9619e-06,0.00063469,2.5019e-11,1.8988e-09,1.6746e-10,1.0344e-09,5.1476e-17,1.0532e-06,1.7321e-12,1.1183e-10,3.9652e-09,2.6007e-05,7.2371e-13,3.7149e-08,6.0398e-06,0.00039496,1.723e-12,8.7597e-10,2.112e-15,0.0019869,4.4321e-07,8.7597e-10,1.1935e-16,6.1149e-14,2.132e-18,1.2857e-09,6,3424.93,238776000.0,-151844000.0,13014000.0,0,0,,23877600.0
8,3340.0,10000000.0,0.017236,6.1139e-05,4.2874e-06,0.0001282,0.00013816,3.1623e-07,5.7967e-05,3.393e-05,8.9953e-05,3.6978e-05,1.2244e-05,1.1288e-07,0.0053284,6.5606e-09,0.0001529,5.0554e-07,2.6879e-15,0.2056,0.00026978,4.5297e-09,0.0001208,3.5666e-07,3.7102e-10,6.3509e-07,1.4331e-06,0.0008515,3.1754e-07,1.0272e-08,5.4043e-06,6.25e-09,2.448e-11,0.00021314,6.9191e-10,2.4524e-08,1.7764e-09,2.9098e-09,3.8748e-10,4.3725e-06,0.0017502,4.2348e-11,3.1442e-09,3.1279e-10,2.389e-09,5.7828e-17,1.4429e-06,2.397e-12,1.7352e-10,6.5583e-09,5.6596e-05,1.0599e-12,8.6046e-08,1.3778e-05,0.0010825,2.6004e-12,1.5129e-09,2.4836e-15,0.0059509,9.3548e-07,1.5129e-09,9.4468e-17,5.392e-14,1.4782e-18,1.5152e-09,7,3335.63,191556000.0,-138999000.0,12674700.0,0,0,,19155600.0
9,3250.0,10000000.0,0.01863,4.9206e-05,3.7703e-06,0.00019166,0.00013889,2.2546e-07,5.693e-05,3.2771e-05,8.7834e-05,3.3464e-05,1.3366e-05,9.1281e-08,0.0066143,3.4823e-09,0.0001386,4.9722e-07,1.0083e-15,0.15975,0.000227,2.4662e-09,8.0834e-05,4.9906e-07,2.5632e-10,5.4884e-07,1.289e-06,0.001334,2.6454e-07,1.0259e-08,5.991e-06,5.0194e-09,1.1878e-11,0.00018318,4.1076e-10,1.4849e-08,1.3452e-09,1.5878e-09,2.3884e-10,3.0701e-06,0.0015818,2.1435e-11,1.5488e-09,1.7785e-10,1.7488e-09,1.8e-17,8.3754e-07,9.5771e-13,7.9477e-11,3.2358e-09,3.8669e-05,4.5343e-13,6.3232e-08,9.933e-06,0.00097029,1.1505e-12,7.8403e-10,8.1654e-16,0.0059239,6.1493e-07,7.8403e-10,1.9356e-17,1.2518e-14,2.5828000000000004e-19,4.9601e-10,8,3249.3,153675000.0,-126489000.0,12346700.0,0,0,,15367500.0
